Keyword,Currency,Segmentation,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic average position,Organic impression share,In Account,Searches: Dec 2020,Searches: Jan 2021,Searches: Feb 2021,Searches: Mar 2021,Searches: Apr 2021,Searches: May 2021,Searches: Jun 2021,Searches: Jul 2021,Searches: Aug 2021,Searches: Sep 2021,Searches: Oct 2021,Searches: Nov 2021
desarrollador,USD,,500000.0,0%,0%,Baja,1,"0,05","0,49",,,,,,,,,,,,,,,,
desarrolladores,USD,,500000.0,0%,0%,Baja,1,"0,05","0,49",,,,,,,,,,,,,,,,
aplicaciones web,USD,,50000.0,0%,0%,Baja,6,"0,14","0,67",,,,,,,,,,,,,,,,
desarrollador de software,USD,,50000.0,0%,0%,Baja,31,"0,22","1,01",,,,,,,,,,,,,,,,
desarrollador inmobiliario,USD,,50000.0,0%,0%,Baja,27,"0,19","0,80",,,,,,,,,,,,,,,,
desarrollador web,USD,,50000.0,0%,0%,Media,49,"0,41","2,00",,,,,,,,,,,,,,,,
desarrolladores de software,USD,,50000.0,0%,0%,Baja,31,"0,22","1,01",,,,,,,,,,,,,,,,
desarrolladores web,USD,,50000.0,0%,0%,Media,49,"0,41","2,00",,,,,,,,,,,,,,,,
desarrollo humano,USD,,50000.0,-90%,-90%,Baja,0,"0,01","0,19",,,,,,,,,,,,,,,,
desarrollo organizacional,USD,,50000.0,0%,0%,Baja,3,"0,18","0,67",,,,,,,,,,,,,,,,
programacion de software,USD,,50000.0,0%,0%,Baja,17,"0,25","1,78",,,,,,,,,,,,,,,,
que es desarrollador,USD,,50000.0,-90%,0%,Baja,0,"0,02","0,15",,,,,,,,,,,,,,,,
app programacion,USD,,5000.0,0%,0%,Media,49,"0,37","4,00",,,,,,,,,,,,,,,,
desarrollador android,USD,,5000.0,0%,0%,Media,40,"0,26","1,52",,,,,,,,,,,,,,,,
desarrollador app,USD,,5000.0,0%,0%,Media,63,"0,62","8,48",,,,,,,,,,,,,,,,
desarrollador backend,USD,,5000.0,0%,0%,Baja,30,"0,27","1,39",,,,,,,,,,,,,,,,
desarrollador comercial,USD,,5000.0,0%,900%,Baja,4,"0,07","0,48",,,,,,,,,,,,,,,,
desarrollador de aplicaciones,USD,,5000.0,0%,0%,Media,46,"0,43","4,65",,,,,,,,,,,,,,,,
desarrollador de aplicaciones multiplataforma,USD,,5000.0,0%,0%,Media,44,"0,71","2,66",,,,,,,,,,,,,,,,
desarrollador de aplicaciones móviles,USD,,5000.0,0%,0%,Media,50,"0,45","8,06",,,,,,,,,,,,,,,,
desarrollador de aplicaciones web,USD,,5000.0,0%,0%,Media,38,"0,56","2,76",,,,,,,,,,,,,,,,
desarrollador de apps,USD,,5000.0,0%,0%,Media,64,"0,66","7,67",,,,,,,,,,,,,,,,
desarrollador de paginas web,USD,,5000.0,0%,0%,Media,59,"0,64","3,47",,,,,,,,,,,,,,,,
desarrollador de sistemas,USD,,5000.0,0%,0%,Baja,12,"0,21","0,91",,,,,,,,,,,,,,,,
desarrollador de software carrera,USD,,5000.0,0%,0%,Media,58,"0,18","0,82",,,,,,,,,,,,,,,,
desarrollador de videojuegos,USD,,5000.0,0%,0%,Media,34,"0,26","1,10",,,,,,,,,,,,,,,,
desarrollador en android,USD,,5000.0,0%,0%,Media,40,"0,26","1,52",,,,,,,,,,,,,,,,
desarrollador front end,USD,,5000.0,0%,0%,Media,43,"0,32","2,47",,,,,,,,,,,,,,,,
desarrollador full stack,USD,,5000.0,0%,0%,Media,56,"0,42","3,07",,,,,,,,,,,,,,,,
desarrollador fullstack,USD,,5000.0,0%,0%,Media,56,"0,42","3,07",,,,,,,,,,,,,,,,
desarrollador java,USD,,5000.0,0%,900%,Media,35,"0,26","1,06",,,,,,,,,,,,,,,,
desarrollador paginas web,USD,,5000.0,0%,0%,Media,56,"0,80","5,54",,,,,,,,,,,,,,,,
desarrollador web carrera,USD,,5000.0,0%,900%,Media,60,"0,27","1,31",,,,,,,,,,,,,,,,
desarrollador web empleo,USD,,5000.0,0%,0%,Baja,26,"0,20","1,00",,,,,,,,,,,,,,,,
desarrollador web full stack,USD,,5000.0,0%,900%,Alta,74,"0,44","3,01",,,,,,,,,,,,,,,,
desarrolladores de app,USD,,5000.0,0%,0%,Media,64,"0,66","7,67",,,,,,,,,,,,,,,,
desarrolladores de apps,USD,,5000.0,0%,0%,Media,64,"0,66","7,67",,,,,,,,,,,,,,,,
desarrolladores front end,USD,,5000.0,0%,0%,Media,43,"0,32","2,47",,,,,,,,,,,,,,,,
diseñador de app,USD,,5000.0,0%,0%,Media,38,"0,41","4,00",,,,,,,,,,,,,,,,
diseñador de software,USD,,5000.0,0%,0%,Baja,12,"0,18","0,74",,,,,,,,,,,,,,,,
diseño apps,USD,,5000.0,0%,0%,Media,41,"0,36","4,00",,,,,,,,,,,,,,,,
diseño de aplicaciones,USD,,5000.0,0%,0%,Baja,31,"0,30","2,12",,,,,,,,,,,,,,,,
